username,timestamp,activity_type,source_ip,location,result
user_171,2025-01-12 18:14:18,login,139.148.126.97,USA,failed
user_828,2025-01-22 22:34:23,permission_change,39.53.235.39,USA,failed
user_228,2025-01-17 08:17:22,file_access,225.72.55.193,Germany,success
user_493,2025-01-21 21:56:55,permission_change,11.179.170.181,Egypt,failed
user_817,2025-01-25 19:00:34,login,140.223.110.141,Egypt,success
user_12,2025-01-20 11:47:36,database_access,241.53.198.135,Australia,failed
user_659,2025-01-23 18:58:07,login,126.113.145.237,Germany,failed
user_602,2025-01-25 18:18:20,database_access,91.101.120.88,USA,failed
user_417,2025-01-25 10:37:56,permission_change,169.204.50.157,Egypt,failed
user_812,2025-01-09 01:44:23,login,195.255.50.92,Egypt,failed
user_478,2025-01-09 19:45:29,file_access,179.136.123.85,Egypt,failed
user_636,2025-01-08 12:54:11,permission_change,117.143.122.242,Japan,success
user_342,2025-01-21 01:04:22,permission_change,146.81.162.64,Germany,success
user_50,2025-01-02 00:53:27,permission_change,89.148.79.145,Japan,failed
user_344,2025-01-14 06:43:31,login,34.83.182.203,Australia,success
user_796,2025-01-11 15:55:46,login,255.72.119.24,USA,failed
user_55,2025-01-11 15:29:06,login,170.194.18.248,Canada,failed
user_289,2025-01-14 18:57:21,login,223.172.89.45,Japan,failed
user_54,2025-01-23 12:30:37,logout,75.91.234.247,Canada,success
user_202,2025-01-18 18:33:26,file_access,200.112.227.189,USA,success
user_954,2025-01-19 07:03:39,logout,174.150.124.234,Egypt,failed
user_151,2025-01-15 08:20:21,file_access,20.131.5.167,Egypt,failed
user_458,2025-01-05 09:02:25,permission_change,13.243.124.76,Canada,failed
user_143,2025-01-10 08:53:04,permission_change,239.68.123.109,Japan,success
user_537,2025-01-20 11:02:26,logout,195.218.244.78,Canada,success
user_78,2025-01-23 08:55:39,login,57.85.73.46,Germany,failed
user_60,2025-01-03 13:02:45,login,163.146.191.42,Japan,success
user_655,2025-01-14 05:54:28,login,221.163.222.100,USA,success
user_895,2025-01-10 22:03:12,login,195.33.248.82,USA,success
user_502,2025-01-26 20:09:18,login,70.120.147.111,Japan,failed
user_284,2025-01-12 21:14:10,login,174.192.63.196,Canada,success
user_441,2025-01-30 06:43:29,database_access,231.4.183.111,Egypt,success
user_639,2025-01-19 06:08:18,logout,194.52.26.87,Egypt,success
user_187,2025-01-09 06:55:31,database_access,129.101.74.20,Canada,success
user_7,2025-01-20 07:21:41,logout,214.75.245.191,Egypt,failed
user_505,2025-01-21 16:50:55,database_access,115.72.95.249,USA,failed
user_955,2025-01-21 18:16:50,logout,104.149.133.161,Canada,failed
user_877,2025-01-27 10:09:07,login,77.94.9.240,USA,failed
user_971,2025-01-11 17:38:33,login,24.84.233.19,Germany,failed
user_70,2025-01-18 01:03:41,permission_change,210.44.210.218,Japan,failed
user_188,2025-01-04 13:53:22,logout,108.70.231.254,Germany,success
user_111,2025-01-23 11:28:43,database_access,127.28.6.254,Germany,failed
user_862,2025-01-02 09:51:11,permission_change,64.78.59.8,Australia,failed
user_930,2025-01-09 03:47:13,database_access,233.193.163.60,Egypt,success
user_937,2025-01-08 03:35:21,file_access,175.97.193.93,USA,success
user_638,2025-01-23 05:52:34,login,206.28.172.81,Canada,failed
user_777,2025-01-24 04:04:48,permission_change,221.60.132.250,USA,failed
user_669,2025-01-21 11:32:47,login,215.233.104.77,Japan,success
